Evaluation_ID,Country,Region,Year,Programme,Evaluation_Type,Status,Completion_Pct,Budget_USD,External_Evaluator,N_Recommendations,Recommendations_Implemented,Implementation_Rate_Pct,Quality_Score_1to5,Findings_Shared_With_NS,Sector
EVAL-2023-001,Uganda,East Africa,2023,Food Security Initiative,Real-time,Planned,0,18068,True,0,0,0.0,,True,Livelihoods
EVAL-2023-002,Senegal,West Africa,2023,WASH for All,After-Action Review,Planned,0,45575,True,0,0,0.0,,True,Shelter
EVAL-2023-003,Egypt,North Africa,2023,Climate Resilience,Impact,Planned,0,56088,False,0,0,0.0,,False,Food Security
EVAL-2022-004,Nigeria,West Africa,2022,Food Security Initiative,End-line,Planned,0,23894,True,0,0,0.0,,False,Health
EVAL-2023-005,Ghana,West Africa,2023,Community Health,Mid-term,Findings Disseminated,100,9645,True,4,0,0.0,4.4,False,Disaster Risk Reduction
EVAL-2025-006,South Africa,Southern Africa,2025,WASH for All,Real-time,Findings Disseminated,100,6572,True,6,0,0.0,4.2,False,Migration
EVAL-2022-007,Ethiopia,East Africa,2022,Urban Resilience,Mid-term,Planned,0,35991,False,0,0,0.0,,False,Shelter
EVAL-2021-008,Morocco,North Africa,2021,Community Health,End-line,In Progress,46,49428,False,0,0,0.0,4.9,False,Protection
EVAL-2021-009,Ethiopia,East Africa,2021,Urban Resilience,Real-time,Findings Disseminated,100,78804,True,6,1,16.7,3.2,True,Migration
EVAL-2022-010,Sudan,North Africa,2022,Community Health,Impact,Planned,0,64175,True,0,0,0.0,,True,WASH
EVAL-2021-011,Ghana,West Africa,2021,WASH for All,After-Action Review,Findings Disseminated,100,14905,False,12,0,0.0,2.7,False,Shelter
EVAL-2022-012,Tanzania,East Africa,2022,Food Security Initiative,Real-time,Completed,80,58413,True,14,12,85.7,4.6,False,WASH
EVAL-2025-013,Nigeria,West Africa,2025,Community Health,After-Action Review,Planned,0,64609,False,0,0,0.0,,False,Food Security
EVAL-2024-014,Ethiopia,East Africa,2024,Climate Resilience,Mid-term,In Progress,39,29073,False,0,0,0.0,5.0,True,WASH
EVAL-2024-015,Kenya,East Africa,2024,Food Security Initiative,Mid-term,Completed,71,15784,True,6,4,66.7,3.9,True,Livelihoods
EVAL-2023-016,Mozambique,Southern Africa,2023,Migration & Displacement,Impact,In Progress,44,28937,False,0,0,0.0,2.6,False,Protection
